Pump01_HUVEC-Gag-EIF4E_NHLF_Day01	Pump02_HUVEC-Gag-EIF4E_NHLF_Day01	Pump03_HUVEC-Gag-EIF4E_NHLF_Day01	Pump04_HUVEC-Gag-EIF4E_ESC_Day01	Pump05_HUVEC-Gag-EIF4E_ESC_Day01	Pump06_HUVEC-Gag-EIF4E_ESC_Day01	Pump01_HUVEC-Gag-EIF4E_NHLF_Day02	Pump02_HUVEC-Gag-EIF4E_NHLF_Day02	Pump03_HUVEC-Gag-EIF4E_NHLF_Day02	Pump04_HUVEC-Gag-EIF4E_ESC_Day02	Pump05_HUVEC-Gag-EIF4E_ESC_Day02	Pump06_HUVEC-Gag-EIF4E_ESC_Day02	Pump01_HUVEC-Gag-EIF4E_NHLF_Day03	Pump02_HUVEC-Gag-EIF4E_NHLF_Day03	Pump03_HUVEC-Gag-EIF4E_NHLF_Day03	Pump04_HUVEC-Gag-EIF4E_ESC_Day03	Pump05_HUVEC-Gag-EIF4E_ESC_Day03	Pump06_HUVEC-Gag-EIF4E_ESC_Day03	Pump01_HUVEC-Gag-EIF4E_NHLF_Day04	Pump02_HUVEC-Gag-EIF4E_NHLF_Day04	Pump03_HUVEC-Gag-EIF4E_NHLF_Day04	Pump04_HUVEC-Gag-EIF4E_ESC_Day04	Pump05_HUVEC-Gag-EIF4E_ESC_Day04	Pump06_HUVEC-Gag-EIF4E_ESC_Day04	Pump01_HUVEC-Gag-EIF4E_NHLF_Day05	Pump02_HUVEC-Gag-EIF4E_NHLF_Day05	Pump03_HUVEC-Gag-EIF4E_NHLF_Day05	Pump04_HUVEC-Gag-EIF4E_ESC_Day05	Pump05_HUVEC-Gag-EIF4E_ESC_Day05	Pump06_HUVEC-Gag-EIF4E_ESC_Day05	Pump01_HUVEC-Gag-EIF4E_NHLF_Day06	Pump02_HUVEC-Gag-EIF4E_NHLF_Day06	Pump03_HUVEC-Gag-EIF4E_NHLF_Day06	Pump04_HUVEC-Gag-EIF4E_ESC_Day06	Pump05_HUVEC-Gag-EIF4E_ESC_Day06	Pump06_HUVEC-Gag-EIF4E_ESC_Day06	Pump01_HUVEC-Gag-EIF4E_NHLF_Day07	Pump02_HUVEC-Gag-EIF4E_NHLF_Day07	Pump03_HUVEC-Gag-EIF4E_NHLF_Day07	Pump04_HUVEC-Gag-EIF4E_ESC_Day07	Pump05_HUVEC-Gag-EIF4E_ESC_Day07	Pump06_HUVEC-Gag-EIF4E_ESC_Day07	Pump07_Control_NHLF_Day01	Pump07_Control_NHLF_Day02	Pump07_Control_NHLF_Day03	Pump07_Control_NHLF_Day04	Pump07_Control_NHLF_Day05	Pump07_Control_NHLF_Day06	Pump07_Control_NHLF_Day07	Pump08_Control_NHLF_Day01	Pump08_Control_NHLF_Day02	Pump08_Control_NHLF_Day03	Pump08_Control_NHLF_Day04	Pump08_Control_NHLF_Day05	Pump08_Control_NHLF_Day06	Pump08_Control_NHLF_Day07	Pump09_Control_NHLF_Day01	Pump09_Control_NHLF_Day02	Pump09_Control_NHLF_Day03	Pump09_Control_NHLF_Day04	Pump09_Control_NHLF_Day05	Pump09_Control_NHLF_Day06	Pump09_Control_NHLF_Day07
AAAS	0	66	0	0	0	0	189	43	0	337	29	0	0	0	0	8	8	0	0	1	0	0	2	0	472	6	32	3	0	0	1	1	0	0	110	11	1	105	0	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	0	478	1	10	0	2	0	141	1	0	0	1767	155	276	0	1	382	75	446	1	1	12	0	1389	189	0	0	0	13	0	317	196	211	770	237	1077	1	916	39	175	151	148	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AACSP1	1	25	52	11	9	20	0	3	3	8	66	1	52	0	0	1	35	20	0	1	12	1	9	10	38	33	49	3	3	28	12	14	40	21	43	13	17	20	2	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	48	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	7.58774	0	0	3.05988	42.7907	0	0	1.10486	0	0	0	0	0	6.13601	0	0	2.17448	0	0	6.84453	7.73709	33.5243	5.57494	4.74369	0	1.05083	0	274.732	2.71248	6.61623	26.6275	11.4455	22.3042	6.2718	0	190.151	134.154	0	0	0	0	46.2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAED1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	218	242	0	73	0	12	0	0	227	26	0	0	0	0	0	0	0	0	260	0	272	0	0	71	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	43	7	45	1424.002	47	1	93	684.00017	421	770	2	14	210	808.00038	187	996	143	1967.003	15	246	794	1039	571	1899	1598	2074	530	1890.0022	21	527	1621	830	1129.0015696	1787.999	751	62	1050	1086	1853.004	689	1062	1272	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
AAK1	149.912	721.942	508.906	678.064	933.446	562.098	424.695	1608.32	1716.29	3168.83	1165.31	8705.73	2648.8	2066.71	1187.76	3419.19	1522.11	3167.33	6792.4	2519.08	3459.74	4367.19	1162.65	6153.22	6441.13	8210.29	7427.15	4809.45	971.74	2954.21	6874.96	3659.24	5774.1	3387.33	2937.7	3188.75	6562.81	6522.02	5371.78	1655.57	2195.95	2479.87	0	8.03614	16.422	2.323	1.1944	1	1	5.25339	1.20178	0	24.7294	2.04471	0	1	1	0	0	25.9302	14.3637	1.16636	1
AAMDC	0	1	142	1	0	147	188	175	192	0	286	870	256	242	92	306	250	0	229	0	611	617	0	484	468	809	242	640	196	251	203	396	1	554	707	497	63	222	700	734	626	554	0	0	0	0	24	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAMP	0	2	0	0	0	0	2	420	204	3	117	337	1099	0	1	131	806	1	488	1067	61	988	552	530	132	93	189	303	2055	1137	294	1	1279	1405	896	1966	1436	1009	629	393	434	316	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AANAT	2	6.2819	12.0028	7.00914	5	4.00357	0	5.00125	18.0056	9	2.00137	2.00051	8.00152	1.00069	6	4.00373	4	8	8	14.0049	3.00064	10.5691	14.5482	10	5.00031	8.00144	11.0007	7.00265	8.00111	4.00057	38.0652	10.0036	17.0035	4.00118	10.0014	12.0024	2.00066	5	4.00062	7.00048	4	22.0075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	0	0	0	1	0	0	0	0	1	6	0	0	3	67	0	6	195	1110	0	591	1	638	0	0	312	0	917	0	0	266.99982	1	28	0	121	198	4	431	114	2	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	2.13212	1.12744	10.2417	23.689	1.18995	2.19617	0	1.01808	2.12409	2.82077	6.5975	12.5747	4.50671	8.4414	0	12.4547	7.45148	23.854	7.48451	68.4603	6.32268	32.1025	4.24688	13.1899	18.9493	4.51747	5.06532	8.78404	23.3534	27.5521	3.17287	4.91455	1.12112	1.04599	4.36478	7.52116	3.05992	10.5521	8.02246	6.03866	1.04809	21.6411	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	0	1	0	7	123	0	122	62	4	0	107	40	23	12	439	393	580	3	552	579	141	318	175	1247	344	196	87	28	3	202	1115	11	213	3	71	661	33	2	1801	720	74	483	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	86	0	0
AARS2	6.54395	10.718	24.9198	12.352	17.9676	6.32172	1.00645	2.94574	454.652	38.8627	200.765	5.758	276.17	10.254	9.03275	31.4457	11.4342	9.52405	7.42738	48.1095	10.9145	9.80379	227.625	205.296	178.14	31.5724	19.8078	52.2879	14.3237	14.5801	15.2554	7.61686	3.1788	33.5649	18.9343	455.001	18.0048	34.6308	10.1251	23.4417	4.01621	53.7082	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	0	1	0	0	0	368	0	2	104	0	132	0	774	2	0	591	30	8	10	18	0	0	640	341	144	0	218	285	752	0	628	0	482	374	571	196	0	590	580	0	84	435	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	3	0	9	0	0	0	0	0	0	0	1	0	0	10	0	0	23	0	0	6	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	51	11	0	64	18	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDHPPT	1	1	0	0	185	1	0	8	0	0	0	0	1	316	0	344	30	0	0	0	728	2	0	0	2	0	0	453	0	552	117	267	401	97	38	0	186	0	32	36	590	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	17.27	3.39794	10.0913	15.6161	33.8344	6.95894	0	5.11754	6.21837	2.86461	17.9461	24.3978	56.2551	35.7864	8.40458	23.9454	16.1773	18.7678	16.8803	58.8899	113.375	32.6927	5.06164	160.869	85.2226	6.88784	46.5303	347.451	13.813	15.8254	132.64	10.4556	26.869	20.8978	17.6905	25.8409	17.2047	20.775	20.0634	86.4502	68.4956	16.035	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	0	0	111	0	0	0	0	34	56	0	26	459	855	435	220	539	168	1	352	629	623	394	0	102	308	110	54	2	1434	9	793	26	1081	417	544	12	110	167	151	620	875	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	1	0	0	6	0	0	0	6	0	44	0	1	2	0	0	0	6	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	5	3	0	40	1	0	0	0	0	10	0	0	0	0	0	5	0	0	0	0	83	4	1	72	0	4	0	2	0	0	0	0	0	129	7	0	0	9	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	0	0	0	3	16	1	71	67	0	11	66	52	1	0	46	1	1	1	34	204	4	149	22	269	119	22	2	74	0	166	3	241	446	12	1	2	9	126	0	8	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	0	4	0	0	0	0	2	28	0	0	0	15	0	82	0	0	0	2	0	0	1	0	25	0	0	169.355	15	19	7	5	0	27	0	1	13	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	0	0	0	0	30.9311	0	0	0	0	0	0	0	0	0	0	43.7288	1	0	0	0	0	93.4981	0	0	0	87.6454	0	0	0	117.484	107.413	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA12	0	8	1	0	38	0	0	8	1	6	18	0	0	0	1	39	0	3	3	0	0	5	18	0	0	0	0	0	0	15	21	0	0	0	4	7	0	29	0	0	8	5	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	20.4739	24.8169	8.26193	107.619	10.215	23.684	3.00913	3.01594	17.269	27.6941	7.101	11.2026	10.2292	11.2088	16.4789	18.1279	66.3707	10.1251	10.324	14.2406	21.0723	31.4133	7.19548	33.9994	49.8374	15.3971	10.6014	46.7709	12.1753	26.5835	21.0235	41.2899	43.8633	19.1219	22.6741	48.3301	20.4741	21.089	29.0838	12.022	18.3796	16.548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	0	0	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	0	1	0	150	7	73	0	0	0	110	90	39.00005	1	18.99997	0	92	77	0	0	318.9999	14.00004	14.00001	0	1	71	104	0	54	501.9999	0	32	78	62	0	4	0	196.9998	4.999998	301.0005	41.99997	0	419.9997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	0	0	400	30	0	1	0	399	340	801	24	402	431	1076	0	165	312	404	44	0	368	1034	171	1301	652	25	194	411	823	1	1	51	3092	1400	1	742	395	1213	1060	964	25	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA4	0	0	0	0	0	12	0	0	0	1	0	10	0	0	0	2	1	1	0	0	0	128	1	0	0	0	0	0	1	0	29	14	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	3.686	1.00625	1	69.1519	49	0	0	2.00246	2.1396	2	8.14838	4.98779	1.08658	18.00409	0	5.00493	22.16423	1.00355	2.00077	0	14	230.05956	7.00584	21.2085	1.00038	1	3.00108	10.5133	0	1.00168	26.72932	0	10.1393	9.0021	0	0	3.00185	79	4.014718	15.741731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	0	9	0	1	49	0	0	1	1	9	3	0	25	5	0	1	30	1	10	9	0	0	21	0	17	1	0	4	22	0	0	11	0	2	3	1	2	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	7	5	0	0	0	86	0	137	26	0	0	0	0	0	108	1	1	20	1	0	0	0	1	182	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	16	39	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	16.6472	69.8966	18.578	125.43	49.3193	8.53378	14.1391	46.0361	8.22428	45.3454	67.1573	131.416	57.351	49.3697	6.14995	82.039	94.88	71.7548	38.5767	87.3027	55.7496	128.886	77.7004	130.372	59.7259	123.17	164.792	122.357	80.5223	118.212	131.538	95.5057	122.175	66.0775	85.0135	77.5854	82.282	134.295	76.3663	68.4676	78.4957	86.0947	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0
ABCB1	41	0	0	57	13	0	0	4	0	2	0	0	0	0	0	101	0	7	0	2	0	0	0	0	0	24	0	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	0	1	1	0	0	1	0	494	211	0	283	144	625	41	264	4	1	291	3	8	136	259	79	777	95	265	670	29	169	315	436	393	301	391	30	169	479	245	90	2	8	112	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	24	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	1	0	0	33	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	18	1	5	0	0	7	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	18.3684	46.29155	24.43093	26.91386	8.43448	8.33545	2.64756	13.0512	2.22437	14.62224	15.81851	11.44849	16.00634	4.29653	10.11773	13.51557	19.75982	30.1072	54.05837	26.57498	19.10561	85.2235	21.71274	64.08599	15.19222	77.90529	13.54685	30.32728	22.8723	121.7875	15.77248	58.7623	14.51771	38.1603	71.9672	39.7243	13.5158	9.18409	12.51097	9.13864	18.45986	13.7259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00536	0	1	0
ABCB6	71	0	425	1	0	0	0	11	0	35	12	0	0	175	0	2	0	65	0	0	69	0	0	0	0	96	0	285	0	0	44	1	193	891	4	0	0	607	64	0	1	814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB7	0	0	1.999999	3.000001	0	0	0	0	0	0	0	0	3.000001	71.00003	1	36.00004	191	9	0	2.000002	21.00003	1	1	327.999942	1	1	1	0	0	0	0	0	47.00004	13.00001	137.9999	573.99992	139.9999	257	0	0	1	118.0001	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	102	8	1	272	0	104	2	0	0	161	635	546	0	0	0	112	1	301	9	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCB9	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	9	1	170	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	0	119	26	1	0	0	0	1	0	298	0	0	22	426	200	1	6	226	93	90	74	252	1	1212	281	608	0	67	0	55	2	532	72	111	414	0	194	13	483	144	141	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC10	0	0	0	0	9	0	0	0	6.000000306385	0	359	0	181.00000343124	0	1.000000045312	0	0	0	1.0000000209243	0	507	2.0000000242982	0	1.0000000200488	615	75.00000108326	0	18	1.0000000147932	9.000000109795	0	1.0000000101662	783.0000199923	13.000000153404	19.000000216636	1.0000000126121	390.0000361041	122.00000218942	218.0000133283	2.0000000940096	1.000000037235	197.00000836259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	0	101	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	5	7	2	1	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	5	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	2.12595	2.09293	57	13.14104	1.01701	0	16.1544	0	0	1	4.15181	1.02351	10.0207	3.01406	0	3.10284	5.70787	1.0006	2.71525	0	16.609	44.4692	15.0963	0	2.01738	7.33776	3	12.2001	7.24182	30.6472	4.00048	8.10344	0	2.02271	10.0496	17.0852	28.0176	2.17483	6.64894	5.00739	3.03025	1.00755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0	0	29	0	5	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	272	126	13	299	0	18	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	0	7	0	0	1	0	0	0	53	0	1	894	0	0	0	0	0	0	0	0	0	0	0	0	0	287	121	108	0	0	710	0	457	0	14.00004	318	0	0	7	36	131	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	0	3	66	6.38337	28	1.01543	1	4	77	1	2	668.961	1	70	92	75.9461	9	1.17642	0	21	99.2365	742	0	10	20	32	0	0	16.5687	4	45.03189	354.07107	188.9997	2	0	2	63	297.773	194.0529	2	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
